model_key,model_name,model_path,accuracy,precision,recall,f1,roc_auc
logreg,Logistic Regression,C:\Users\skywa\Desktop\ml github\ml-poc-project\models\logreg.joblib,0.875506893755069,0.5786163522012578,0.7225130890052356,0.6426076833527358,0.813031976364422
random_forest,Random Forest,C:\Users\skywa\Desktop\ml github\ml-poc-project\models\random_forest.joblib,0.8925385239253852,0.6402877697841727,0.6989528795811518,0.6683354192740926,0.8134879561053552
xgboost,XGBoost,C:\Users\skywa\Desktop\ml github\ml-poc-project\models\xgboost.joblib,0.889294403892944,0.6203090507726269,0.7356020942408377,0.6730538922155689,0.8265342524946991
